Login, ورود
Logout, خروج
Email, ایمیل
Password, رمز عبور
Forgot your password?, رمز عبورت را فراموش کرده‌ای؟
Create an account, ایجاد حساب کاربری
Register, ثبت‌نام
Full Name, نام کامل
Full name, نام کامل
SIGN IN, ورود
Order History, تاریخچه سفارش‌ها
Account Details, جزئیات حساب
You have not placed any orders yet, هنوز هیچ سفارشی ثبت نکرده‌ای
My Account, حساب من
Already have an account?, حساب کاربری داری؟
Contact information, اطلاعات تماس
City, شهر
Account Information, اطلاعات حساب
Address, آدرس
Postcode, کد پستی
Postcode is required, وارد کردن کد پستی الزامی است
Telephone is required, وارد کردن شماره تلفن الزامی است
Telephone, شماره تلفن
Full name is required, وارد کردن نام کامل الزامی است
Country is required, انتخاب کشور الزامی است
Country, کشور
Province is required, وارد کردن استان الزامی است
Province, استان
Billing Address, آدرس صورتحساب
Shipping Address, آدرس ارسال
Create A New Account, ایجاد حساب کاربری جدید
Contact, تماس
Customer information, اطلاعات مشتری